scope,condition,repeat_index,gpu,architecture_generation,architecture_chip,sm_count,test_kernel,baseline_kernel,threads,threads_per_sm,blocks_per_sm_requested,unroll,measurement_grade,baseline_match_grade,quality_pass,target_pass,positive_increment,no_intended_l2,pure_fp16_candidate,energy_source_reliable,energy_trace_crosscheck_pass,baseline_structural_match,benchmark_schema_current,test_benchmark_schema_version,baseline_benchmark_schema_version,matmul_denominator_valid,matmul_denominator_note,matmul_denominator_metadata_complete,matmul_denominator_source,energy_signal_reliable,measurement_resolution_reliable,ncu_validation_pass,ncu_validation_context_match,ncu_required,ncu_tensor_activity_required,test_ncu_note,baseline_ncu_note,test_ncu_tensor_activity_note,test_ncu_validation_blocks_per_sm,baseline_ncu_validation_blocks_per_sm,test_ncu_validation_unroll,baseline_ncu_validation_unroll,test_ncu_validation_suppress_output_store,baseline_ncu_validation_suppress_output_store,test_ncu_tensor_activity_pct,baseline_ncu_tensor_activity_pct,test_ncu_sm_activity_pct,baseline_ncu_sm_activity_pct,test_ncu_tensor_activity_observed,baseline_ncu_tensor_activity_observed,clock_stable,sm_util_available,common_hmma_path,tflops,elapsed_s,baseline_elapsed_s,tensor_peak_tflops_model,achieved_flops_per_sm_cycle,tensor_model_utilization_pct,avg_sm_util_pct,matmul_logical_mma_count,matmul_flops_per_logical_mma,matmul_input_bits_per_logical_mma,matmul_input_pj_per_bit,incremental_power_w,test_energy_j,incremental_energy_j,incremental_energy_fraction,baseline_energy_fraction,baseline_power_fraction,clock_span_mhz,test_energy_source,baseline_energy_source,test_energy_counter_vs_trace_ratio,baseline_energy_counter_vs_trace_ratio,test_energy_counter_vs_trace_delta_j,baseline_energy_counter_vs_trace_delta_j,test_power_samples,baseline_power_samples,fail_reasons,warnings,fp16_path,run_count,required_valid_count,valid_no_l2_count,pure_fp16_candidate_count,selected_optimal,quality_gate_selected_target,util_saturated,util_reference_scope,util_reference_max_pct,util_metric_source,target_selection_note,test_benchmark_schema_versions,baseline_benchmark_schema_versions,avg_sm_util_pct_mean,avg_gpu_util_pct_mean,tflops_mean,elapsed_s_mean,baseline_elapsed_s_mean,tensor_peak_tflops_model_mean,achieved_flops_per_sm_cycle_mean,tensor_model_utilization_pct_mean,matmul_logical_mma_count_mean,matmul_input_pj_per_bit_mean,matmul_input_pj_per_bit_ci95,incremental_power_w_mean,test_energy_j_mean,incremental_energy_j_mean,incremental_energy_fraction_mean,baseline_energy_fraction_mean,baseline_power_fraction_mean,clock_span_mhz_mean,stats_scope,test_energy_source_counts,baseline_energy_source_counts,test_energy_counter_vs_trace_ratio_mean,baseline_energy_counter_vs_trace_ratio_mean,test_energy_counter_vs_trace_delta_j_mean,baseline_energy_counter_vs_trace_delta_j_mean
pair,launch_shape_tensor_mma_f16acc_t032_b01,0,NVIDIA GeForce RTX 3090,ampere,ga102,82,tensor_mma_f16acc,tensor_baseline_mov,32,32.0,1,8,strict_nvml_counter,structural_baseline,False,False,False,False,False,True,True,True,True,fp16-energy-bench-v2,fp16-energy-bench-v2,True,logical_m16n16k16_input_bits_8192,True,bench_json_metadata,False,False,False,False,False,False,missing NCU validation row,missing NCU validation row,missing NCU validation row for tensor activity,,,,,,,,,,,,,True,True,True,38.24564101497849,1.12409191895,0.837378051758,162.47808,241.03889213448346,23.538954310008148,100.0,5248000000.0,8192.0,8192.0,0.0003175277316325787,-4.129327064175328,169.195,0.013651030307698875,8.068223238097388e-05,0.999919317767619,1.0282104917011519,0.0,nvml_total_energy_counter,nvml_total_energy_counter,0.9110933920762397,0.9377381534709006,-16.510440815931048,-8.604227802656396,9,6,nonpositive incremental power/energy; expected or invalid L2/global traffic; not a pure FP16 candidate; incremental energy fraction 8.068e-05 < 0.01; baseline energy fraction 0.9999 > 0.99; incremental energy is below 0.1 J or missing,baseline elapsed_s 0.8374s < warning threshold 1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pair,launch_shape_tensor_mma_f16acc_t032_b01,1,NVIDIA GeForce RTX 3090,ampere,ga102,82,tensor_mma_f16acc,tensor_baseline_mov,32,32.0,1,8,strict_nvml_counter,structural_baseline,True,False,True,True,True,True,True,True,True,fp16-energy-bench-v2,fp16-energy-bench-v2,True,logical_m16n16k16_input_bits_8192,True,bench_json_metadata,True,True,False,False,False,False,missing NCU validation row,missing NCU validation row,missing NCU validation row for tensor activity,,,,,,,,,,,,,True,True,True,38.46093898424268,1.1177994384799999,0.843499511719,162.47808,242.39578360271432,23.67146324245257,100.0,5248000000.0,8192.0,8192.0,0.523484351783236,14.754942212065771,193.261,22.505438233873804,0.11645100787988164,0.8835489921201184,0.9119188946498964,0.0,nvml_total_energy_counter,nvml_total_energy_counter,1.0039835398029833,0.8535131696470425,0.7668082745812796,-22.82293104107751,9,6,,baseline elapsed_s 0.8435s < warning threshold 1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pair,launch_shape_tensor_mma_f16acc_t032_b01,2,NVIDIA GeForce RTX 3090,ampere,ga102,82,tensor_mma_f16acc,tensor_baseline_mov,32,32.0,1,8,strict_nvml_counter,structural_baseline,False,False,False,False,False,True,True,True,True,fp16-energy-bench-v2,fp16-energy-bench-v2,True,logical_m16n16k16_input_bits_8192,True,bench_json_metadata,False,False,False,False,False,False,missing NCU validation row,missing NCU validation row,missing NCU validation row for tensor activity,,,,,,,,,,,,,True,True,True,38.4787180852094,1.1172829589800002,0.843881347656,162.47808,242.50783440605912,23.68240570371671,100.0,5248000000.0,8192.0,8192.0,-0.016696071991383437,-5.076923038602189,173.929,-0.7177911157619121,-0.004126920270696158,1.0041269202706962,1.0335693367572538,0.0,nvml_total_energy_counter,nvml_total_energy_counter,0.9008855705521093,0.8987427553082413,-19.135475317777946,-15.046018362582288,9,6,nonpositive incremental power/energy; expected or invalid L2/global traffic; not a pure FP16 candidate; incremental energy fraction is missing or nonpositive; baseline energy fraction 1.004 > 0.99; incremental energy is below 0.1 J or missing,baseline elapsed_s 0.8439s < warning threshold 1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pair,launch_shape_tensor_mma_f16acc_t032_b01,3,NVIDIA GeForce RTX 3090,ampere,ga102,82,tensor_mma_f16acc,tensor_baseline_mov,32,32.0,1,8,strict_nvml_counter,structural_baseline,True,False,True,True,True,True,True,True,True,fp16-energy-bench-v2,fp16-energy-bench-v2,True,logical_m16n16k16_input_bits_8192,True,bench_json_metadata,True,True,False,False,False,False,missing NCU validation row,missing NCU validation row,missing NCU validation row for tensor activity,,,,,,,,,,,,,True,True,True,38.42208058281879,1.1189299316399999,0.8443453369139999,162.47808,242.150882856361,23.6475471539415,100.0,5248000000.0,8192.0,8192.0,0.5854957363598722,17.92685183924641,180.616,25.171407867220864,0.13936421948897584,0.8606357805110242,0.8857065926374839,0.0,nvml_total_energy_counter,nvml_total_energy_counter,0.929943847141194,0.8920590723294587,-13.60647972847434,-14.605424839772425,9,6,,baseline elapsed_s 0.8443s < warning threshold 1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pair,launch_shape_tensor_mma_f16acc_t032_b01,4,NVIDIA GeForce RTX 3090,ampere,ga102,82,tensor_mma_f16acc,tensor_baseline_mov,32,32.0,1,8,strict_nvml_counter,structural_baseline,True,False,True,True,True,True,True,True,True,fp16-energy-bench-v2,fp16-energy-bench-v2,True,logical_m16n16k16_input_bits_8192,True,bench_json_metadata,True,True,False,False,False,False,missing NCU validation row,missing NCU validation row,missing NCU validation row for tensor activity,,,,,,,,,,,,,True,True,True,38.49292459613826,1.1168706054700002,0.848976867676,162.47808,242.59736935865794,23.69114935143144,100.0,5248000000.0,8192.0,8192.0,0.9250534677829616,30.58620402364312,193.068,39.76954346639346,0.20598723489337153,0.7940127651066284,0.8177693277488098,0.0,nvml_total_energy_counter,nvml_total_energy_counter,0.9895454301311142,0.8829071875789911,-2.039767790326323,-15.91701297582577,9,6,,baseline elapsed_s 0.849s < warning threshold 1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pair,launch_shape_tensor_mma_f16acc_t032_b01,5,NVIDIA GeForce RTX 3090,ampere,ga102,82,tensor_mma_f16acc,tensor_baseline_mov,32,32.0,1,8,strict_nvml_counter,structural_baseline,True,False,True,True,True,True,True,True,True,fp16-energy-bench-v2,fp16-energy-bench-v2,True,logical_m16n16k16_input_bits_8192,True,bench_json_metadata,True,True,False,False,False,False,missing NCU validation row,missing NCU validation row,missing NCU validation row for tensor activity,,,,,,,,,,,,,True,True,True,38.488234194269545,1.1170067138700002,0.843511779785,162.47808,242.5678086233664,23.68826256087562,100.0,5248000000.0,8192.0,8192.0,0.4737039401667616,13.787457061669414,176.666,20.36529789333639,0.11527570609702144,0.8847242939029786,0.9103054283704148,0.0,nvml_total_energy_counter,nvml_total_energy_counter,0.901686390844683,0.8971769759272393,-19.262431208219283,-13.919284884432557,9,6,,baseline elapsed_s 0.8435s < warning threshold 1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pair,launch_shape_tensor_mma_f16acc_t032_b01,6,NVIDIA GeForce RTX 3090,ampere,ga102,82,tensor_mma_f16acc,tensor_baseline_mov,32,32.0,1,8,strict_nvml_counter,structural_baseline,True,False,True,True,True,True,True,True,True,fp16-energy-bench-v2,fp16-energy-bench-v2,True,logical_m16n16k16_input_bits_8192,True,bench_json_metadata,True,True,False,False,False,False,missing NCU validation row,missing NCU validation row,missing NCU validation row for tensor activity,,,,,,,,,,,,,True,True,True,37.98086354154762,1.13192834473,0.843632263184,161.21856,241.24024099052093,23.55861728423056,100.0,5248000000.0,8192.0,8192.0,0.4957399069516915,13.965898118048358,193.655,21.31265971554285,0.11005478668530556,0.8899452133146944,0.9159801536964527,0.0,nvml_total_energy_counter,nvml_total_energy_counter,0.9783965378686262,0.9769095608522681,-4.275994749700288,-3.124848727349786,9,6,,baseline elapsed_s 0.8436s < warning threshold 1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pair,launch_shape_tensor_mma_f16acc_t032_b01,7,NVIDIA GeForce RTX 3090,ampere,ga102,82,tensor_mma_f16acc,tensor_baseline_mov,32,32.0,1,8,strict_nvml_counter,structural_baseline,True,False,True,True,True,True,True,True,True,fp16-energy-bench-v2,fp16-energy-bench-v2,True,logical_m16n16k16_input_bits_8192,True,bench_json_metadata,True,True,False,False,False,False,missing NCU validation row,missing NCU validation row,missing NCU validation row for tensor activity,,,,,,,,,,,,,True,True,True,38.03401740200233,1.13034643555,0.8433172607420001,161.21856,241.57785443344974,23.591587347016578,100.0,5248000000.0,8192.0,8192.0,0.44063854825906845,11.253687825309811,195.162,18.94376326155134,0.09706686374166763,0.9029331362583324,0.9326736184354998,0.0,nvml_total_energy_counter,nvml_total_energy_counter,0.9873139519452389,1.0004122221732694,-2.5076466361944085,0.05595876479722506,9,6,,baseline elapsed_s 0.8433s < warning threshold 1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pair,launch_shape_tensor_mma_f16acc_t032_b01,8,NVIDIA GeForce RTX 3090,ampere,ga102,82,tensor_mma_f16acc,tensor_baseline_mov,32,32.0,1,8,strict_nvml_counter,structural_baseline,True,False,True,True,True,True,True,True,True,fp16-energy-bench-v2,fp16-energy-bench-v2,True,logical_m16n16k16_input_bits_8192,True,bench_json_metadata,True,True,False,False,False,False,missing NCU validation row,missing NCU validation row,missing NCU validation row for tensor activity,,,,,,,,,,,,,True,True,True,38.20816129148378,1.1251945800799998,0.851713012695,161.21856,242.6839512924529,23.6996046184036,100.0,5248000000.0,8192.0,8192.0,0.6049317995699108,18.609197201516338,181.563,26.006995633298573,0.14323951263913118,0.8567604873608688,0.8813622418243359,0.0,nvml_total_energy_counter,nvml_total_energy_counter,0.9242928285934929,0.8879671876564076,-14.871500391273742,-15.286609420994012,9,6,,baseline elapsed_s 0.8517s < warning threshold 1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pair,launch_shape_tensor_mma_f16acc_t032_b01,9,NVIDIA GeForce RTX 3090,ampere,ga102,82,tensor_mma_f16acc,tensor_baseline_mov,32,32.0,1,8,strict_nvml_counter,structural_baseline,False,False,False,False,False,True,False,True,True,fp16-energy-bench-v2,fp16-energy-bench-v2,True,logical_m16n16k16_input_bits_8192,True,bench_json_metadata,False,False,False,False,False,False,missing NCU validation row,missing NCU validation row,missing NCU validation row for tensor activity,,,,,,,,,,,,,True,True,True,38.21383682278783,1.1250274658200001,0.8491416625980001,161.21856,242.7200001447398,23.703125014134745,100.0,5248000000.0,8192.0,8192.0,nan,nan,179.238,nan,nan,nan,nan,0.0,nvml_total_energy_counter,nvml_total_energy_counter,0.9134917451368867,nan,-16.973953697667184,nan,9,0,nonpositive incremental power/energy; expected or invalid L2/global traffic; not a pure FP16 candidate; incremental energy fraction is missing or nonpositive; baseline energy fraction is missing or invalid; incremental energy is below 0.1 J or missing,baseline elapsed_s 0.8491s < warning threshold 1s; baseline NVML-counter/power-trace ratio is missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
